commit	test_accuracy	training_time_s	peak_memory_mb	status	description
5e5ba83	0.976200	68.16	433.0	keep	baseline jax implementation
b94a2de	0.976400	72.31	433.0	discard	fused_l1 kernel: slower due to non-coalesced xB1 access
ea0222b	0.975900	50.76	433.0	keep	fused l1+l2 triton kernel; coalesced xB1_T layout
dcd5054	0.975800	64.19	433.0	discard	num_warps=2 num_stages=2 made kernel slower
485d924	0.977000	36.87	434.0	keep	chunked scan (CHUNK=500): lax.scan, cuBLAS matmuls, L2 cache
7822728	0.977000	27.78	390.4	keep	epoch-level scan: entire epoch in single JIT call
2b5e4c6	0.975100	23.39	210.9	keep	JIT warmup + bf16 training data; 2.84x speedup
19287f6	0.973400	10.67	210.9	keep	pre-split keys removes data dependency; 6.23x speedup; 1.1s/epoch
2026-03-21T21:31:48.301058	8514bf3	11	0.9734	10.66	210.9	keep	acc=0.9739 time=10.7s mem=211MB
2026-03-21T21:31:48.301257	8514bf3	42	0.974	10.68	210.9	keep	acc=0.9739 time=10.7s mem=211MB
2026-03-21T21:31:48.301293	8514bf3	7	0.9742	10.76	210.9	keep	acc=0.9739 time=10.7s mem=211MB
2026-03-21T21:34:01.762802	ab2af06	11	0.9732	10.38	210.9	keep	acc=0.9734 time=10.4s mem=211MB
2026-03-21T21:34:01.762929	ab2af06	42	0.9745	10.41	210.9	keep	acc=0.9734 time=10.4s mem=211MB
2026-03-21T21:34:01.762956	ab2af06	7	0.9725	10.42	210.9	keep	acc=0.9734 time=10.4s mem=211MB
